<BEGIN, begin>
<INT, int>
<ID, aa1>
<ASSIGN, =>
<ID, a2>
<SEMICOLON, ;>
<BOOLEAN, bool>
<ID, b1>
<ASSIGN, =>
<ID, b2>
<SEMICOLON, ;>
<ID, a>
<ASSIGN, =>
<ID, b>
<ADD, +>
<ID, c>
<SEMICOLON, ;>
<ID, a>
<ASSIGN, =>
<BRACKET, (>
<BRACKET, (>
<ID, a>
<ADD, +>
<ID, b>
<BRACKET, )>
<ADD, +>
<ID, e>
<BRACKET, )>
<MULT, *>
<ID, c>
<SEMICOLON, ;>
<IF, if>
<BRACKET, (>
<ID, a>
<RELOP_EQ, ==>
<ID, b>
<BRACKET, )>
<THEN, then>
<BRACKET, {>
<ID, stmt>
<SEMICOLON, ;>
<BRACKET, }>
<ELSE, else>
<BRACKET, {>
<ID, stmt>
<SEMICOLON, ;>
<BRACKET, }>
<DO, do>
<BRACKET, {>
<ID, stmt>
<BRACKET, }>
<WHILE, while>
<BRACKET, (>
<ID, a>
<RELOP_GEQ, >=>
<ID, b>
<BRACKET, )>
<SEMICOLON, ;>
<COMMENT, >
<COMMENT, >
