<BEGIN,  >;
<INT,  >;
<ID, a1>;
<ASSIGN,  >;
<ID, a2>;
<SEMI,  >;
<BOOL,  >;
<ID, b1>;
<ASSIGN,  >;
<ID, b2>;
<SEMI,  >;
<ID, a>;
<ASSIGN,  >;
<ID, b>;
<ADD_OP,  >;
<ID, c>;
<SEMI,  >;
<ID, a>;
<ASSIGN,  >;
<LPAREN,  >;
<LPAREN,  >;
<ID, a>;
<ADD_OP,  >;
<ID, b>;
<RPAREN,  >;
<ADD_OP,  >;
<ID, e>;
<RPAREN,  >;
<MUL_OP,  >;
<ID, c>;
<SEMI,  >;
<IF,  >;
<LPAREN,  >;
<ID, a>;
<REL_OP, ==>;
<ID, b>;
<RPAREN,  >;
<ID, then>;
<LBRACE,  >;
<ID, stmt>;
<SEMI,  >;
<RBRACE,  >;
<ELSE,  >;
<LBRACE,  >;
<ID, stmt>;
<SEMI,  >;
<RBRACE,  >;
<ID, do>;
<LBRACE,  >;
<ID, stmt>;
<RBRACE,  >;
<WHILE,  >;
<LPAREN,  >;
<ID, a>;
<REL_OP, >=>;
<RPAREN,  >;
<SEMI,  >;
<COMMENT,  >;
<COMMENT,  >;
