<BEGIN,  >;
<TYPE, int>;
<ID, a>;
<SEMI,  >;
<TYPE, int>;
<ID, b>;
<ASSIGN,  >;
<NUM, 0>;
<SEMI,  >;
<TYPE, int>;
<ID, c>;
<SEMI,  >;
<TYPE, bool>;
<ID, e>;
<SEMI,  >;
<ID, a>;
<ASSIGN,  >;
<ID, a>;
<ADD_OP,  >;
<ID, b>;
<SEMI,  >;
<ID, b>;
<ASSIGN,  >;
<BRACKET, (>;
<ID, c>;
<ADD_OP,  >;
<ID, a>;
<BRACKET, )>;
<MUL_OP,  >;
<ID, b>;
<SEMI,  >;
<COMMENT,  >;
<IF,  >;
<BRACKET, (>;
<BRACKET, (>;
<ID, a>;
<REL_OP, >>;
<ID, b>;
<BRACKET, )>;
<REL_OP, ==>;
<ID, c>;
<BRACKET, )>;
<BRACKET, {>;
<ID, a>;
<ASSIGN,  >;
<ID, a>;
<ADD_OP,  >;
<ID, c>;
<SEMI,  >;
<BRACKET, }>;
<COMMENT,  >;
<DO,  >;
<BRACKET, {>;
<ID, b>;
<ASSIGN,  >;
<ID, b>;
<ADD_OP,  >;
<NUM, 1>;
<SEMI,  >;
<BRACKET, }>;
<WHILE,  >;
<BRACKET, (>;
<ID, b>;
<REL_OP, >>;
<NUM, 10>;
<BRACKET, )>;
<SEMI,  >;
<END,  >;
